Unnamed: 0,Country or territory,% Africa,Population[1],% growth,Official figure,Official date,Notes
1,Nigeria,15.4%,227882945,2.12%,216783400,21 Mar 2022[5],
2,Ethiopia,8.7%,128691692,2.64%,107334000,1 Jul 2023[6],
3,Egypt,7.7%,114535772,1.70%,102060688,1 Jul 2021[7],[a]
4,DR Congo,7.1%,105789731,3.31%,95370000,1 Jul 2019[8],
5,Tanzania,4.5%,66617606,2.95%,61741120,23 Aug 2022[9],
6,South Africa,4.3%,63212384,1.34%,59604992,1 Jul 2022[10],
7,Kenya,3.7%,55339003,2.00%,51526000,1 Jan 2023[11],
8,Sudan,3.4%,50042791,1.34%,41984500,1 Jul 2018[12],
9,Uganda,3.3%,48656601,2.84%,45905417,1 May 2024[13],
10,Algeria,3.1%,46164219,1.51%,46300000,1 Jan 2023[14],
11,Morocco,2.5%,37712505,1.03%,36828330,1 Sep 2024[15],
12,Angola,2.5%,36749906,3.13%,38778554,1 Jan 2026[16],
13,Ghana,2.3%,33787914,1.93%,34378768,1 Jan 2026[17],
14,Mozambique,2.3%,33635160,3.00%,33244414,1 Mar 2024[18],
15,Madagascar,2.1%,31195932,2.49%,27190927,1 Jun 2020[19],
16,Ivory Coast,2.1%,31165654,2.54%,29389150,14 Dec 2021[20],
17,Cameroon,1.9%,28372687,2.68%,24348251,Jul 1 2019[21],
18,Niger,1.9%,26159867,3.35%,23196000,1 Jul 2020[22],
19,Mali,1.8%,23769127,3.02%,14528662,4 May 2024[23],
20,Burkina Faso,1.6%,23025776,2.30%,20505155,16 Nov 2019[24],
21,Malawi,1.4%,21104482,2.60%,19809511,3 Sep 2023[25],
22,Zambia,1.4%,20723965,2.83%,19610769,14 Sep 2022[26],
23,Chad,1.3%,19319064,4.68%,15775400,1 Jul 2019[27],
24,Somalia,1.2%,18358615,3.13%,12316895,4 May 2024[28],[b]
25,Senegal,1.2%,18077573,2.42%,18275743,1 Jul 2023[31],
26,Zimbabwe,1.1%,16340822,1.69%,15178979,20 Apr 2022[32],
27,Guinea,1.0%,14405465,2.49%,13261638,Jul 1 2022[33],
28,Benin,1.0%,14111034,2.55%,12606998,1 Jul 2023[34],
29,Rwanda,1.0%,13954471,2.22%,13246394,15 Aug 2022[35],
30,Burundi,0.9%,13689450,2.77%,13097400,1 Jul 2023[36],
31,Tunisia,0.9%,12200431,0.68%,11803588,1 Jan 2022[37],
32,South Sudan,0.8%,11483374,4.19%,13249924,1 Jul 2020[38],
33,Togo,0.6%,9304337,2.36%,8095498,8 Nov 2022[39],
34,Sierra Leone,0.6%,8460512,2.22%,7541641,9 Dec 2021[40],
35,Libya,0.5%,7305659,1.13%,6931061,1 Jan 2020[41],
36,Congo,0.4%,6182885,2.45%,3697490,4 May 2024[42],
37,Liberia,0.4%,5493031,2.23%,4844381,1 Jul 2023[43],
38,Central African Republic,0.4%,5152421,1.07%,6091097,1 Mar 2021[44],
39,Mauritania,0.3%,5022441,3.01%,4352037,1 Jul 2022[45],
40,Eritrea,0.3%,3470390,1.79%,3815900,1 Jul 2012[46],
41,Namibia,0.2%,2963095,2.54%,2641857,1 Jul 2023[47],
42,Gambia,0.2%,2697845,2.33%,2417471,1 Jul 2022[48],
43,Gabon,0.2%,2484789,2.22%,2349099,1 Jul 2023[49],
44,Botswana,0.2%,2480244,1.65%,2346179,18 Mar 2022[50],
45,Lesotho,0.2%,2311472,1.11%,2103600,1 Jul 2023[51],
46,Guinea-Bissau,0.1%,2153339,2.27%,1781308,1 Jul 2023[52],
47,Equatorial Guinea,0.1%,1847549,2.44%,1558160,1 Jul 2022[53],
48,Mauritius,0.1%,1273588,-0.20%,1261196,31 Dec 2022[54],
49,Eswatini,0.1%,1230506,0.95%,1223362,1 Jul 2023[55],
50,Djibouti,0.1%,1152944,1.39%,1001454,1 Jul 2021[56],
—,Réunion (France),0.1%,896175,,896175,10 Jan 2024,
51,Comoros,0.1%,850387,1.94%,758316,15 Dec 2017[57],
—,Western Sahara (disputed),0.04%,579729,1.93%,579000,1 Jul 2020[58],
52,Cape Verde,0.04%,522331,0.50%,483628,16 Jun 2021[59],
53,São Tomé and Príncipe,0.02%,230871,2.02%,210200,13 May 2020[60],
54,Seychelles,0.01%,127951,1.94%,100447,22 Apr 2022[61],
,Total,100%,1480770525,2.34%,1332291870,,
